meta_addr,name,dir_type,size,crtime,parent_path,md5
58,BCTextEncoder.exe,5,1672,1432644354,/USERS/Jimmy Wilson/Desktop/,6547bb9307880fe73e44ff6127d668e5
124,hn_logo_new[1].png,5,1000,1432644354,/USERS/Jimmy Wilson/AppData/Local/Microsoft/Windows/Temporary Internet Files/Low/Content.IE5/CBU4KX3T/,1049c037b54076e7f7d40092f3cc0d8b
125,mathworks_new[1].png,5,1242,1432644354,/USERS/Jimmy Wilson/AppData/Local/Microsoft/Windows/Temporary Internet Files/Low/Content.IE5/CBU4KX3T/,34ca8d5b761025b4c2de5bfdeb35e43f
158,sprite-v6[1].png,5,1485,1432644354,/USERS/Jimmy Wilson/AppData/Local/Microsoft/Windows/Temporary Internet Files/Low/Content.IE5/S9GG14FF/,9113ec14ddb60575d4e3899dab5c004e
209,icon_buying-guide[1].png,5,1304,1432644354,/USERS/Jimmy Wilson/AppData/Local/Microsoft/Windows/Temporary Internet Files/Low/Content.IE5/CBU4KX3T/,dcc63da97b21e1379ef673b47f5d35c7
468,LVx-xkvaJ0b[1].png,5,1329,1432644355,/USERS/Jimmy Wilson/AppData/Local/Microsoft/Windows/Temporary Internet Files/Low/Content.IE5/WMB1SJEE/,9900b008000a1c3f8057ca1d74d2e177
527,chrome-48[1].png,5,1834,1432644356,/USERS/Jimmy Wilson/AppData/Local/Microsoft/Windows/Temporary Internet Files/Low/Content.IE5/0YNVG0PM/,3fe84b8b53d7401b32fabd0c70f211bb
531,mgyhp_sm[1].png,5,331,1432644356,/USERS/Jimmy Wilson/AppData/Local/Microsoft/Windows/Temporary Internet Files/Low/Content.IE5/0YNVG0PM/,6efe849bcca95a1036a846f618fde913
532,logo11w[1].png,5,2362,1432644356,/USERS/Jimmy Wilson/AppData/Local/Microsoft/Windows/Temporary Internet Files/Low/Content.IE5/0YNVG0PM/,57e396baedfe1a034590339082b9abce
539,tia[1].png,5,387,1432644356,/USERS/Jimmy Wilson/AppData/Local/Microsoft/Windows/Temporary Internet Files/Low/Content.IE5/CBU4KX3T/,ad07ee4cb98da073dda56ce7ceb88f5a
545,v1_53a1fa6a[1].png,5,2267,1432644356,/USERS/Jimmy Wilson/AppData/Local/Microsoft/Windows/Temporary Internet Files/Low/Content.IE5/S9GG14FF/,53a1fa6ad577b77b0cdfe03ca4bbe721
548,nav_logo170[1].png,5,167,1432644356,/USERS/Jimmy Wilson/AppData/Local/Microsoft/Windows/Temporary Internet Files/Low/Content.IE5/WMB1SJEE/,f6a2328ce7271f30bec2b442c3b7d795
561,footer_pdf_icon[1].png,5,2035,1432644356,/USERS/Jimmy Wilson/AppData/Local/Microsoft/Windows/Temporary Internet Files/Low/Content.IE5/CBU4KX3T/,b37044eb8286faf3861a8a6b2942a7c2AR
