name,size,crtime,parent_path,malware_class,delete_flag
,56,1432641774,/,None,0
Documents and Settings,48,1247548136,/,None,0
.,48,1247548136,/Documents and Settings/,None,0
..,56,1432641774,/Documents and Settings/,None,0
USERS,56,1432644388,/,None,0
.,56,1432644388,/USERS/,None,0
..,56,1432641774,/USERS/,None,0
BillyBob,48,1432645596,/USERS/,None,0
.,48,1432645596,/USERS/BillyBob/,None,0
..,56,1432644388,/USERS/BillyBob/,None,0
Fred Flintstone,48,1432645570,/USERS/,None,0
.,48,1432645570,/USERS/Fred Flintstone/,None,0
..,56,1432644388,/USERS/Fred Flintstone/,None,0
James Russell,48,1432645581,/USERS/,None,0
.,48,1432645581,/USERS/James Russell/,None,0
..,56,1432644388,/USERS/James Russell/,None,0
Jimmy Wilson,256,1390674458,/USERS/,None,0
.,256,1390674458,/USERS/Jimmy Wilson/,None,0
..,56,1432644388,/USERS/Jimmy Wilson/,None,0
NTUSER.DAT{016888bd-6c6f-11de-8d1d-001e0bcde3ec}.TM.blf,65536,1432644376,/USERS/Jimmy Wilson/,None,0
AppData,344,1390674458,/USERS/Jimmy Wilson/,None,0
.,344,1390674458,/USERS/Jimmy Wilson/AppData/,None,0
..,256,1390674458,/USERS/Jimmy Wilson/AppData/,None,0
Local,56,1390674458,/USERS/Jimmy Wilson/AppData/,None,0
.,56,1390674458,/USERS/Jimmy Wilson/AppData/Local/,None,0
..,344,1390674458,/USERS/Jimmy Wilson/AppData/Local/,None,0
Adobe,240,1392044231,/USERS/Jimmy Wilson/AppData/Local/,None,0
.,240,1392044231,/USERS/Jimmy Wilson/AppData/Local/Adobe/,None,0
..,56,1390674458,/USERS/Jimmy Wilson/AppData/Local/Adobe/,None,0
Acrobat,144,1392044231,/USERS/Jimmy Wilson/AppData/Local/Adobe/,None,0
.,144,1392044231,/USERS/Jimmy Wilson/AppData/Local/Adobe/Acrobat/,None,0
..,240,1392044231,/USERS/Jimmy Wilson/AppData/Local/Adobe/Acrobat/,None,0
11.0,56,1392044231,/USERS/Jimmy Wilson/AppData/Local/Adobe/Acrobat/,None,0
.,56,1392044231,/USERS/Jimmy Wilson/AppData/Local/Adobe/Acrobat/11.0/,None,0
..,144,1392044231,/USERS/Jimmy Wilson/AppData/Local/Adobe/Acrobat/11.0/,None,0
AdobeCMapFnt11.lst,1011,1432644355,/USERS/Jimmy Wilson/AppData/Local/Adobe/Acrobat/11.0/,None,0
AdobeCMapFnt11.lst-slack,3085,1432644355,/USERS/Jimmy Wilson/AppData/Local/Adobe/Acrobat/11.0/,None,0
AdobeSysFnt11.lst,82455,1432644355,/USERS/Jimmy Wilson/AppData/Local/Adobe/Acrobat/11.0/,None,0
AdobeSysFnt11.lst-slack,3561,1432644355,/USERS/Jimmy Wilson/AppData/Local/Adobe/Acrobat/11.0/,None,0
Cache,272,1392045647,/USERS/Jimmy Wilson/AppData/Local/Adobe/Acrobat/11.0/,None,0
.,272,1392045647,/USERS/Jimmy Wilson/AppData/Local/Adobe/Acrobat/11.0/Cache/,None,0
..,56,1392044231,/USERS/Jimmy Wilson/AppData/Local/Adobe/Acrobat/11.0/Cache/,None,0
AcroFnt11.lst,8370,1432644354,/USERS/Jimmy Wilson/AppData/Local/Adobe/Acrobat/11.0/Cache/,None,0
AcroFnt11.lst-slack,3918,1432644354,/USERS/Jimmy Wilson/AppData/Local/Adobe/Acrobat/11.0/Cache/,None,0
SharedDataEvents,3072,1432644357,/USERS/Jimmy Wilson/AppData/Local/Adobe/Acrobat/11.0/,None,0
SharedDataEvents-slack,1024,1432644357,/USERS/Jimmy Wilson/AppData/Local/Adobe/Acrobat/11.0/,None,0
UserCache.bin,67429,1432644357,/USERS/Jimmy Wilson/AppData/Local/Adobe/Acrobat/11.0/,None,0
UserCache.bin-slack,2203,1432644357,/USERS/Jimmy Wilson/AppData/Local/Adobe/Acrobat/11.0/,None,0
Color,376,1392044231,/USERS/Jimmy Wilson/AppData/Local/Adobe/,None,0
.,376,1392044231,/USERS/Jimmy Wilson/AppData/Local/Adobe/Color/,None,0
..,240,1392044231,/USERS/Jimmy Wilson/AppData/Local/Adobe/Color/,None,0
ACECache11.lst,1164,1432644357,/USERS/Jimmy Wilson/AppData/Local/Adobe/Color/,None,0
ACECache11.lst-slack,2932,1432644357,/USERS/Jimmy Wilson/AppData/Local/Adobe/Color/,None,0
Profiles,256,1392044237,/USERS/Jimmy Wilson/AppData/Local/Adobe/Color/,None,0
.,256,1392044237,/USERS/Jimmy Wilson/AppData/Local/Adobe/Color/Profiles/,None,0
..,376,1392044231,/USERS/Jimmy Wilson/AppData/Local/Adobe/Color/Profiles/,None,0
wscRGB.icc,66208,1432644356,/USERS/Jimmy Wilson/AppData/Local/Adobe/Color/Profiles/,None,0
wscRGB.icc-slack,3424,1432644356,/USERS/Jimmy Wilson/AppData/Local/Adobe/Color/Profiles/,None,0
wsRGB.icc,2676,1432644356,/USERS/Jimmy Wilson/AppData/Local/Adobe/Color/Profiles/,None,0
wsRGB.icc-slack,1420,1432644356,/USERS/Jimmy Wilson/AppData/Local/Adobe/Color/Profiles/,None,0
Application Data,48,1390674459,/USERS/Jimmy Wilson/AppData/Local/,None,0
.,48,1390674459,/USERS/Jimmy Wilson/AppData/Local/Application Data/,None,0
..,56,1390674458,/USERS/Jimmy Wilson/AppData/Local/Application Data/,None,0
GDIPFONTCACHEV1.DAT,63568,1432644378,/USERS/Jimmy Wilson/AppData/Local/,None,0
GDIPFONTCACHEV1.DAT-slack,1968,1432644378,/USERS/Jimmy Wilson/AppData/Local/,None,0
History,48,1390674459,/USERS/Jimmy Wilson/AppData/Local/,None,0
.,48,1390674459,/USERS/Jimmy Wilson/AppData/Local/History/,None,0
..,56,1390674458,/USERS/Jimmy Wilson/AppData/Local/History/,None,0
IconCache.db,1304292,1432644376,/USERS/Jimmy Wilson/AppData/Local/,None,0
IconCache.db-slack,2332,1432644376,/USERS/Jimmy Wilson/AppData/Local/,None,0
Microsoft,56,1390674458,/USERS/Jimmy Wilson/AppData/Local/,None,0
.,56,1390674458,/USERS/Jimmy Wilson/AppData/Local/Microsoft/,None,0
..,56,1390674458,/USERS/Jimmy Wilson/AppData/Local/Microsoft/,None,0
Credentials,304,1390674459,/USERS/Jimmy Wilson/AppData/Local/Microsoft/,None,0
.,304,1390674459,/USERS/Jimmy Wilson/AppData/Local/Microsoft/Credentials/,None,0
..,56,1390674458,/USERS/Jimmy Wilson/AppData/Local/Microsoft/Credentials/,None,0
DFBE70A7E5CC19A398EBF1B96859CE5D,2800,1432644354,/USERS/Jimmy Wilson/AppData/Local/Microsoft/Credentials/,None,0
DFBE70A7E5CC19A398EBF1B96859CE5D-slack,1296,1432644354,/USERS/Jimmy Wilson/AppData/Local/Microsoft/Credentials/,None,0
Device Metadata,360,1392129778,/USERS/Jimmy Wilson/AppData/Local/Microsoft/,None,0
.,360,1392129778,/USERS/Jimmy Wilson/AppData/Local/Microsoft/Device Metadata/,None,0
..,56,1390674458,/USERS/Jimmy Wilson/AppData/Local/Microsoft/Device Metadata/,None,0
dmrc.idx,777104,1432644357,/USERS/Jimmy Wilson/AppData/Local/Microsoft/Device Metadata/,None,0
dmrc.idx-slack,1136,1432644357,/USERS/Jimmy Wilson/AppData/Local/Microsoft/Device Metadata/,None,0
dmrccache,256,1392129778,/USERS/Jimmy Wilson/AppData/Local/Microsoft/Device Metadata/,None,0
.,256,1392129778,/USERS/Jimmy Wilson/AppData/Local/Microsoft/Device Metadata/dmrccache/,None,0
..,360,1392129778,/USERS/Jimmy Wilson/AppData/Local/Microsoft/Device Metadata/dmrccache/,None,0
downloads,48,1392129778,/USERS/Jimmy Wilson/AppData/Local/Microsoft/Device Metadata/dmrccache/,None,0
.,48,1392129778,/USERS/Jimmy Wilson/AppData/Local/Microsoft/Device Metadata/dmrccache/downloads/,None,0
..,256,1392129778,/USERS/Jimmy Wilson/AppData/Local/Microsoft/Device Metadata/dmrccache/downloads/,None,0
Event Viewer,48,1392126268,/USERS/Jimmy Wilson/AppData/Local/Microsoft/,None,0
.,48,1392126268,/USERS/Jimmy Wilson/AppData/Local/Microsoft/Event Viewer/,None,0
..,56,1390674458,/USERS/Jimmy Wilson/AppData/Local/Microsoft/Event Viewer/,None,0
Feeds,56,1390674467,/USERS/Jimmy Wilson/AppData/Local/Microsoft/,None,0
.,56,1390674467,/USERS/Jimmy Wilson/AppData/Local/Microsoft/Feeds/,None,0
..,56,1390674458,/USERS/Jimmy Wilson/AppData/Local/Microsoft/Feeds/,None,0
Feeds for United States~,56,1390674473,/USERS/Jimmy Wilson/AppData/Local/Microsoft/Feeds/,None,0
.,56,1390674473,/USERS/Jimmy Wilson/AppData/Local/Microsoft/Feeds/Feeds for United States~/,None,0
..,56,1390674467,/USERS/Jimmy Wilson/AppData/Local/Microsoft/Feeds/Feeds for United States~/,None,0
Popular Government Questions from USA~dgov~.feed-ms,28672,1432644378,/USERS/Jimmy Wilson/AppData/Local/Microsoft/Feeds/Feeds for United States~/,None,0
USA~dgov Updates~c News and Features~.feed-ms,28672,1432644378,/USERS/Jimmy Wilson/AppData/Local/Microsoft/Feeds/Feeds for United States~/,None,0
FeedsStore.feedsdb-ms,6144,1432644378,/USERS/Jimmy Wilson/AppData/Local/Microsoft/Feeds/,None,0
FeedsStore.feedsdb-ms-slack,2048,1432644378,/USERS/Jimmy Wilson/AppData/Local/Microsoft/Feeds/,None,0
